721,844
ES61A,ES70R
IF61B,CSD20
IF61C,CSF13
MA61A,MA71A
MA61B,MA71B
FI61A,FIT1S
QB62A,QB70C
IF62C,CSE20
MA62A,MA72A
EL62A,EEF11
FI62A,FI72S
,FI72N
FI63A,FI73S
,FI74N
IF62J,EEX21
ES60A,ES70P
MA65A,MA70H
IF63C,CSF20
MA63A,MA73A
MA63B,MA70G
IF63E,CSD21
IF63F,CSH30
EL63B,EEB21
,EEB22
ES60F,ES60F
FI64C,FI62B
IF64C,CSF30
,CSA30
EL65G,EEQ31
EL65A,EEB31
EL64O,EEE31
IF64J,EEX22
,EEX11
ES60G,ES70G
FI66A,FI66A
IF65C,CSA31
IF65D,CSG20
IF65E,CSB30
EL65H,EEE32
IF62F,CSW30
GE60D,GE70D
IF65C,CSR30
IF66C,CSE30
IF66D,CSO30
EL66G,EEC21
,EEC31
EL66H,CSW40
EL66L,CSR31
IF66J,EEF21
,EEX23
GE60B,GE70D
IF67B,CSR41
IF67C,CSS30
IF67D,CSI30
EL66D,EEQ32
EL68A,CSW42
IF60J,CSX53
GE60C,GE70H
IF68D,CSI52
IF68E,CSR44
EL68E,CSW41
EL68F,EEC41
EL68G,CSC41
QB65A,QB70E
IF69D,CSV30
IF60A,EEF31
IF67H,CSX42
IF60B,CSX43